x,y,domain,emotion
-9.705482482910156,38.890235900878906,source,neutral
-2.366515874862671,38.60641860961914,source,angry
-28.185504913330078,-21.357833862304688,source,angry
-11.430132865905762,32.531646728515625,source,neutral
-18.13418197631836,22.750606536865234,source,angry
-24.679018020629883,9.67068099975586,source,angry
16.22687339782715,22.355993270874023,source,angry
-6.572825908660889,18.795209884643555,source,angry
-11.442023277282715,38.94639587402344,source,neutral
-25.078584671020508,16.470056533813477,source,angry
7.442430019378662,8.604859352111816,source,angry
16.120908737182617,13.892809867858887,source,angry
-32.390380859375,-36.52748107910156,source,angry
-25.13498878479004,10.528829574584961,source,angry
-8.050802230834961,38.38260269165039,source,neutral
-8.854804992675781,41.489803314208984,source,neutral
-13.412640571594238,40.23009490966797,source,neutral
62.4820442199707,3.024958848953247,source,neutral
56.28740692138672,-5.6625237464904785,source,neutral
-20.19137954711914,27.683483123779297,source,neutral
-12.303905487060547,38.23295974731445,source,neutral
45.52889633178711,-11.834957122802734,source,neutral
67.50483703613281,7.35162878036499,source,neutral
51.69130325317383,-3.493511438369751,source,neutral
6.979591369628906,29.406131744384766,source,neutral
-1.9633605480194092,30.046659469604492,source,neutral
-33.17580795288086,-1.401275634765625,source,angry
41.35988235473633,-10.143540382385254,source,neutral
-21.57194709777832,31.594114303588867,source,neutral
-13.597691535949707,28.8907413482666,source,neutral
-17.96224021911621,25.939605712890625,source,neutral
45.160911560058594,-11.733790397644043,source,neutral
45.163265228271484,-11.437918663024902,source,neutral
-26.06109046936035,16.7170467376709,source,angry
12.119508743286133,31.343570709228516,source,angry
-26.452478408813477,7.454292297363281,source,angry
-8.361037254333496,-16.39426612854004,source,angry
-27.93157958984375,-22.051816940307617,source,angry
-32.082584381103516,-37.286529541015625,source,angry
-31.82457733154297,12.042049407958984,source,angry
-32.103187561035156,-37.17649459838867,source,angry
-28.8874568939209,7.385656356811523,source,angry
-32.47606658935547,-18.254343032836914,source,angry
-16.875478744506836,36.877532958984375,source,neutral
-6.806378364562988,33.42188262939453,source,neutral
8.09045124053955,19.463382720947266,source,neutral
-26.556320190429688,16.88746452331543,source,angry
-26.74057960510254,7.425876140594482,source,angry
-15.432480812072754,28.098838806152344,source,neutral
-20.925004959106445,42.485355377197266,source,neutral
-18.98208999633789,44.67338943481445,source,neutral
-15.003315925598145,44.31446075439453,source,neutral
-3.716974973678589,20.008556365966797,source,neutral
-12.591839790344238,44.03137969970703,source,neutral
-18.994129180908203,43.322021484375,source,neutral
-3.2797460556030273,33.76939010620117,source,neutral
-34.16521453857422,8.519610404968262,source,neutral
-22.658567428588867,41.14506912231445,source,neutral
66.23575592041016,9.808765411376953,source,happy
-12.458407402038574,24.311878204345703,source,happy
-36.594146728515625,-10.387067794799805,source,happy
17.469444274902344,22.46677017211914,source,happy
-23.420490264892578,39.420467376708984,source,neutral
-19.5008602142334,36.371402740478516,source,neutral
-18.343093872070312,41.21846389770508,source,neutral
-15.216107368469238,27.94584846496582,source,happy
-29.27683448791504,-17.948762893676758,source,happy
-14.99317455291748,9.735997200012207,source,happy
-37.97036361694336,-12.218358039855957,source,happy
-6.670928955078125,32.308597564697266,source,happy
-16.84808921813965,42.842552185058594,source,neutral
-11.990097999572754,35.15739822387695,source,sad
-20.16388511657715,38.254859924316406,source,sad
-15.265310287475586,46.14504623413086,source,sad
-14.214067459106445,46.00679016113281,source,sad
10.10170841217041,32.062660217285156,source,neutral
56.43284606933594,-5.1237030029296875,source,neutral
67.0381851196289,8.066262245178223,source,sad
63.44813919067383,3.6560769081115723,source,neutral
48.69805145263672,-4.563741683959961,source,sad
-25.575904846191406,33.69453811645508,source,happy
-12.1675386428833,43.05736541748047,source,happy
-11.052359580993652,36.583492279052734,source,neutral
-10.884613037109375,38.11002731323242,source,neutral
52.87903594970703,-3.942564010620117,source,happy
55.80207443237305,-6.7929768562316895,source,neutral
-0.828541100025177,38.804527282714844,source,neutral
-21.45899200439453,32.02382278442383,source,neutral
60.55953598022461,6.182134628295898,source,happy
-17.405681610107422,38.58750534057617,source,happy
-13.80956745147705,41.66789627075195,source,happy
-25.72001075744629,30.36738395690918,source,happy
-32.75218963623047,-0.18888986110687256,source,happy
-1.7096035480499268,33.80650329589844,source,happy
58.9329833984375,4.241531848907471,source,happy
5.348376750946045,23.766674041748047,source,happy
46.23807144165039,-9.927987098693848,source,happy
61.387630462646484,5.377292156219482,source,happy
-31.919822692871094,9.7034330368042,source,happy
-8.021227836608887,12.338521957397461,source,happy
63.205318450927734,5.694329738616943,source,happy
-1.277212142944336,31.97043228149414,source,sad
41.815460205078125,-10.38853931427002,source,sad
-14.937835693359375,40.873966217041016,source,sad
51.779144287109375,-3.197739601135254,source,sad
-17.47348976135254,37.2436408996582,source,sad
45.74107360839844,-11.771034240722656,source,sad
61.07988739013672,3.7750303745269775,source,sad
-18.105619430541992,38.398563385009766,source,sad
-17.71672248840332,32.503662109375,source,sad
-1.661201000213623,32.789794921875,source,neutral
-18.36180305480957,39.294586181640625,source,happy
-0.7460885047912598,38.42828369140625,source,neutral
55.64052963256836,-5.022360801696777,source,neutral
-4.880805492401123,19.40534782409668,source,neutral
16.9623966217041,14.443333625793457,source,angry
17.343521118164062,12.844647407531738,source,angry
68.0380630493164,6.764042377471924,source,angry
11.206771850585938,30.581798553466797,source,neutral
13.598240852355957,26.27402687072754,source,happy
8.231350898742676,31.3062744140625,source,sad
-4.9324822425842285,18.999008178710938,source,angry
-14.476102828979492,14.385668754577637,source,angry
-8.853160858154297,34.32737350463867,source,neutral
-11.161310195922852,25.427396774291992,source,angry
-3.742791175842285,36.31106948852539,source,neutral
-9.458918571472168,42.963600158691406,source,neutral
-31.950130462646484,-1.7038861513137817,source,happy
-20.43593978881836,24.749895095825195,source,neutral
-26.62588882446289,6.715774059295654,source,happy
-24.15863609313965,25.87657928466797,source,sad
-32.52243423461914,9.924430847167969,source,happy
-16.63954734802246,10.871456146240234,source,sad
-13.00482177734375,5.817930698394775,source,angry
-3.4643425941467285,15.970306396484375,source,neutral
7.858850479125977,30.860698699951172,source,neutral
21.038307189941406,27.053665161132812,source,neutral
16.162181854248047,28.09225845336914,source,neutral
-31.699735641479492,14.81216049194336,source,neutral
1.8333276510238647,20.03227996826172,source,neutral
-24.17376136779785,26.167739868164062,source,neutral
-8.607542991638184,22.50664710998535,source,neutral
-14.971872329711914,4.488319396972656,source,happy
-20.46858787536621,25.07159423828125,source,neutral
-2.4289979934692383,37.58618927001953,source,neutral
-12.11042308807373,27.63980484008789,source,neutral
7.579866409301758,33.594093322753906,source,neutral
-31.948211669921875,13.052659034729004,source,neutral
-33.19517517089844,-2.19814395904541,source,happy
-31.918418884277344,12.71672248840332,source,neutral
-32.91643524169922,10.932610511779785,source,neutral
-17.024520874023438,2.874399423599243,source,neutral
15.132022857666016,10.39648151397705,source,neutral
